cod_item,cod_item_pai,nome,situacao,maior_cod_item_pai
14,0,DIREITO TRIBUTARIO,A,14
195,0,DIREITO PREVIDENCIARIO,A,195
287,0,DIREITO PENAL,A,287
864,0,DIREITO DO TRABALHO,A,864
899,0,DIREITO CIVIL,A,899
1146,0,DIREITO MARITIMO,A,1146
1156,0,DIREITO DO CONSUMIDOR,A,1156
1209,0,DIREITO PROCESSUAL PENAL,A,1209
1654,864,CONTRATO INDIVIDUAL DE TRABALHO,I,864
1658,864,DURACAO DO TRABALHO,I,864
1661,1658,HORAS IN ITINERE,I,864
1663,1658,ADICIONAL NOTURNO,I,864
1666,2594,INSALUBRIDADE,I,864
1681,2594,PERICULOSIDADE,I,864
1690,1697,CONTRIBUICAO ASSISTENCIAL,I,864
1691,1697,CONTRIBUICAO CONFEDERATIVA,I,864
1695,864,DIREITO COLETIVO DO TRABALHO,A,864
1697,864,DIREITO SINDICAL E QUESTOES ANALOGAS,I,864
1703,1697,ELEICAO,I,864
1705,1697,REGISTRO DE ENTIDADE SINDICAL,I,864
1721,2458,SALARIO IN NATURA,I,864
1723,1855,ASSEDIO MORAL,I,864
1724,1855,ASSEDIO SEXUAL,I,864
1767,2581,CESTA BASICA,I,864
1773,1697,CONTRIBUICAO SINDICAL,I,864
1783,2581,COMISSOES E PERCENTUAIS,I,864
1789,2581,COMPLEMENTO TEMPORARIO VARIAVEL DE AJUSTE AO PISO DE MERCADO,I,864
1806,1654,ALTERACAO CONTRATUAL OU DAS CONDICOES DE TRABALHO,I,864
1807,1816,CONTRATO DE EXPERIENCIA - NULIDADE,I,864
1814,5272,CONTRATO NULO,I,864
1816,1654,CONTRATO POR PRAZO DETERMINADO,I,864
1822,5272,CONTRATO TEMPORARIO,I,864
1844,1654,CTPS,I,864
1849,2620,CULPA RECIPROCA,I,864
1855,2567,INDENIZACAO POR DANO MORAL,I,864
1888,2581,DESCONTOS SALARIAIS - DEVOLUCAO,I,864
1904,2620,DESPEDIDA / DISPENSA IMOTIVADA,I,864
1907,2620,JUSTA CAUSA / FALTA GRAVE,I,864
1920,2581,DIARIAS,I,864
1929,2656,DIRIGENTE SINDICAL,I,864
1932,1806,REVERSAO / RETORNO AO CARGO EFETIVO,I,864
1937,864,RESPONSABILIDADE SOLIDARIA / SUBSIDIARIA,I,864
1957,1654,PIS / RAIS,I,864
1965,2656,EMPREGADO PUBLICO,I,864
1966,2656,PORTADOR DE HIV,I,864
1976,2656,CONTRATO SUSPENSO,I,864
1977,2656,ESTABILIDADE DECORRENTE DE NORMA COLETIVA,I,864
1978,2656,GESTANTE,I,864
1981,2656,MEMBRO DA CIPA,I,864
1998,2546,MULTA DE 40% DO FGTS,I,864
2019,2662,FRUICAO / GOZO,I,864
2021,2662,INDENIZACAO / TERCO CONSTITUCIONAL,I,864
2029,1654,FGTS MAS EM OUTRO RAMO NA ARVORE DA JUSTICA DO TRABALHO,I,864
2031,2029,CORRECAO MONETARIA,I,864
2033,2029,DEPOSITO / DIFERENCAS,I,864
2037,2029,LEVANTAMENTO / LIBERACAO,I,864
2055,2581,GRATIFICACAO,A,864
2086,1658,HORAS EXTRAS,I,864
2116,1658,SOBREAVISO,I,864
2117,2581,SUPRESSAO DE HORAS EXTRAS HABITUAIS - INDENIZACAO,I,864
2133,1654,INQUERITO ADMINISTRATIVO,I,864
2135,864,SENTENCA NORMATIVA,I,864
2139,1658,INTERVALO INTERJORNADA,I,864
