endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
45993264,TEIXEIRA DE FREITAS,BA,NORDESTE,SUL BAIANO
04849026,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
88240000,SAO JOAO BATISTA,SC,SUL,GRANDE FLORIANOPOLIS
81480285,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
89082415,INDAIAL,SC,SUL,VALE DO ITAJAI
13720000,SAO JOSE DO RIO PARDO,SP,SUDESTE,CAMPINAS
74440300,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
06401000,BARUERI,SP,SUDESTE,METROPOLITANA DE SAO PAULO
09844115,SAO BERNARDO DO CAMPO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
23914425,ANGRA DOS REIS,RJ,SUDESTE,SUL FLUMINENSE
38061150,UBERABA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
28010090,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,NORTE FLUMINENSE
99200000,GUAPORE,RS,SUL,NORDESTE RIO GRANDENSE
96081220,PELOTAS,RS,SUL,SUDESTE RIO GRANDENSE
23815270,ITAGUAI,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
78095280,CUIABA,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
80630280,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
36062440,JUIZ DE FORA,MG,SUDESTE,ZONA DA MATA
54570000,CABO DE SANTO AGOSTINHO,PE,NORDESTE,METROPOLITANA DE RECIFE
87025756,MARINGA,PR,SUL,NORTE CENTRAL PARANAENSE
63150000,CAMPOS SALES,CE,NORDESTE,SUL CEARENSE
77803060,ARAGUAINA,TO,NORTE,OCIDENTAL DO TOCANTINS
84010010,PONTA GROSSA,PR,SUL,CENTRO ORIENTAL PARANAENSE
37615000,SENADOR AMARAL,MG,SUDESTE,SUL SUDOESTE DE MINAS
68660000,SAO MIGUEL DO GUAMA,PA,NORTE,NORDESTE PARAENSE
