cnpj,dt_abertura,empresa_matriz,cd_cnae_principal,endereco_cep,situacao_cadastral
39392850000118,2020-10-12,True,8020002,45993264,ATIVA
40449809000110,2021-01-18,True,7319002,04849026,ATIVA
42968706000191,2021-08-03,True,5612100,88240000,ATIVA
47468027000177,2022-08-08,True,4789099,81480285,ATIVA
47498617000142,2022-08-10,True,8219999,89082415,ATIVA
01656069000130,1997-01-03,True,5620103,13720000,ATIVA
43365029000180,2021-09-01,True,5320202,74440300,ATIVA
47156099000189,2022-07-14,True,5223100,06401000,ATIVA
46592114000179,2022-05-30,True,4781400,09844115,ATIVA
29518739000171,2018-01-24,True,8230002,23914425,ATIVA
13856859000149,2011-06-27,True,4712100,38061150,ATIVA
11771494000124,2010-04-05,True,4782202,28010090,ATIVA
32745406000190,2019-02-12,True,6462000,99200000,ATIVA
37987860000170,2020-08-05,True,5611203,96081220,ATIVA
24853372000129,2016-05-23,True,4761003,23815270,ATIVA
37150340000109,2020-05-15,True,8599604,78095280,ATIVA
21115155000143,2014-09-25,True,8592903,80630280,ATIVA
15544415000101,2012-05-16,True,1099607,36062440,ATIVA
27914477000139,2017-06-07,True,4744099,54570000,ATIVA
25115671000129,2016-07-01,True,4930201,87025756,ATIVA
04885987000120,2002-02-04,True,4772500,63150000,ATIVA
30432840000194,2018-05-11,True,4120400,77803060,ATIVA
22444881002620,2019-01-02,False,5223100,84010010,ATIVA
33811440000188,2019-06-03,True,4781400,37615000,ATIVA
37525530000163,2020-06-25,True,4541206,68660000,ATIVA
37565813000139,2020-06-30,True,4744099,56330310,ATIVA
36758256000100,2020-03-24,True,8219999,86010150,ATIVA
90256744000164,1989-02-24,True,8112500,95590000,ATIVA
18853537000160,2013-09-11,True,9602501,56308060,ATIVA
25524562000165,1988-12-21,True,4789099,31140030,ATIVA
63849194000114,1991-06-27,True,4781400,66060060,ATIVA
37560823000181,2020-06-29,True,7911200,69074410,ATIVA
11012016000130,2009-07-24,True,4686901,07230030,ATIVA
47883864000162,2022-09-08,True,5620104,40750098,ATIVA
47884401000115,2022-09-08,True,4712100,71258140,ATIVA
21241276000131,2014-10-16,True,4321500,09132600,ATIVA
32797369000163,2019-02-18,True,4923001,30840500,ATIVA
41405129000167,2021-03-30,True,1013901,35182282,ATIVA
33878449000106,2019-06-10,True,4789004,72914505,ATIVA
11293679000170,2009-11-09,True,5612100,37757000,ATIVA
14657682000114,2011-11-23,True,4520001,36087030,ATIVA
41657521000101,2021-04-21,True,1091102,13033050,ATIVA
41597858000162,2021-04-16,True,4781400,38406136,ATIVA
19204272000131,2013-11-06,True,2539001,90820200,ATIVA
16753031000153,2012-08-24,True,8599699,86900000,ATIVA
36391821000143,2020-02-17,True,4771701,12503840,ATIVA
27403146000304,1983-07-12,False,2391501,20760000,ATIVA
37717358000140,2020-07-14,True,4399103,25720062,ATIVA
01642494000170,1997-02-04,True,4759899,64803335,ATIVA
07595746000134,2005-08-26,True,4781400,68501570,ATIVA
20511710000193,2014-06-27,True,4713002,74477335,ATIVA
17980488000163,2013-04-22,True,3831999,79780000,ATIVA
44010604000194,2021-10-25,True,8291100,02995300,ATIVA
94720497000166,1993-11-01,True,8112500,97501644,ATIVA
43745558000109,2021-10-02,True,8219999,06417030,ATIVA
42680882000123,2021-07-12,True,1091102,11910000,ATIVA
39242017000190,2020-09-29,True,1359600,13275704,ATIVA
15441078000119,2012-04-26,True,154700,18769899,ATIVA
43760976000175,2021-10-04,True,4711302,77249899,ATIVA
40577616000144,2021-01-26,True,8230001,14031238,ATIVA
40581440000102,2021-01-27,True,3101200,27322370,ATIVA
21283529000130,2014-10-24,True,4530703,13335500,ATIVA
13574684000187,2011-04-28,True,8230001,74290045,ATIVA
18769322000165,2013-08-15,True,4781400,82510000,ATIVA
45952550000149,2022-04-07,True,1749400,80430200,ATIVA
37010213000104,2020-04-27,True,4789003,31070470,ATIVA
13684541000128,2011-05-23,True,5611203,39480000,ATIVA
24368216000172,2016-03-11,True,1096100,35590000,ATIVA
03210274000101,1999-05-13,True,9430800,93600320,ATIVA
45997610000140,2022-04-12,True,4781400,57241004,ATIVA
10572071021039,1996-07-29,False,8512100,56780000,ATIVA
37399564000159,2020-06-13,True,5611201,65919200,ATIVA
39255766000152,2020-09-30,True,4645101,17014020,ATIVA
24505714000110,2016-04-01,True,4634601,68501523,ATIVA
02105196000104,1997-09-12,True,4744099,85903170,ATIVA
24418357000152,2016-03-18,True,7319002,40015090,ATIVA
16743802000121,2012-07-27,True,9411100,74605010,ATIVA
32124273000134,1988-08-18,True,4635403,22281080,ATIVA
31446203000130,2018-09-06,True,5612100,30190008,ATIVA
54916283000145,1987-01-27,True,8411600,15980000,ATIVA
04157329000111,2000-11-20,True,8640204,41825000,ATIVA
33377779000118,2019-04-16,True,8712300,25010750,ATIVA
38268499000195,2020-08-22,True,8640204,22631903,ATIVA
19146383000139,2013-10-28,True,4330404,77470000,ATIVA
78626934000120,1969-03-04,True,9601701,86010460,ATIVA
10375334000101,2008-09-30,True,4781400,37548970,ATIVA
31150688000110,2018-08-08,True,5611204,59300000,ATIVA
46143180000161,2022-04-26,True,4781400,45345000,ATIVA
14283434000150,2011-09-13,True,4520001,57442000,ATIVA
27108599000138,2017-02-14,True,4781400,39373000,ATIVA
03017617000108,1999-02-24,True,9412099,85790970,ATIVA
32616133000183,2019-01-30,True,8230001,79084122,ATIVA
37655566000161,2020-07-08,True,4530703,85730000,ATIVA
33310836000141,2019-04-10,True,9700500,98920000,ATIVA
34666953000105,2019-08-27,True,8712300,96760000,ATIVA
42200239000155,2021-06-04,True,8712300,02306002,ATIVA
42168821000181,2021-06-01,True,5611204,22420010,ATIVA
42161904000149,2021-06-01,True,9602501,15407350,ATIVA
12991187000111,2010-11-18,True,8630503,64045440,ATIVA
42199788000157,2021-06-04,True,5612100,13468573,ATIVA
33098658101910,2009-04-22,False,6619399,49025100,ATIVA
20420526000138,2014-06-10,True,1412602,35164102,ATIVA
