cd_processo,codigo_cnj
7866d6742ca1386fc334a98bb6dddd76,6226
81b5d9f120508bc8c9a152efedc6afdd,6226
bcf70cf48bba7b16961940c500ca9435,6226
88e5ea95544c4ef85946b16e9037590d,864
807822e43d3af32527dae12edd909561,7698
ab45fddc21e42b3e8e63549405bf7a11,864
6cd04c97bb95d48e6b8111566a72f271,7771
7e14cd5d0064ef863472d622d94be8b1,4703
ea63e647431f40623535684e7cf18279,864
909ac6184ee72fb20f3fdd7f0bf13ea8,864
51ea8f53f77e16e7cc1503533771be50,1156
7299911c83c0f68a80383d8b22116c30,864
738c7613a6f32f5cac57f662889c6702,1156
78e2d3f1636ef7f0cf984f9677437d51,6226
1c837a7c97eff2cf361774424e9885fa,864
2f1e8836fb95be639f0a15c1d238607e,864
6431259d363e1cd10ea7fc333f6b2752,864
fa96619c0ef324b230d88e1d0077f0ee,6226
37de52be116e6f9a552bb00a62c502bc,864
da2ec31da675136b5151653f33c77229,10592
17cbc5bab1b4801e25a593cda056e978,7617
4fc9dc99b53748e5393d314d13999c74,9026
1a89b4eaa3307507676c5cecefd23faf,864
ad5e5c97be77a58b9814725ef537bab0,7698
bc4976133c6c472ce641f3eb6cf3c83c,864
c1af72e47a014e105a771c6149cc5416,6226
b1264064a3ebb681f7e3ebdbcadaae1b,10671
ad862a18ce000904bd7b1c031c497916,6226
c77890dba5ae3dba773cc58eb31b43f2,864
15c244e1f584811e088ba85e83455131,864
a2ab2b1801d69735c4766e2600025742,7768
f8d3015165f8a9bfef59c4cdaf057c9f,7626
41046c71261c6b60765e6525f92ffdd8,864
a89b2959fb46ddc7c7ca7b5d08c32d03,864
4f63727c322c9e9dda1c021a85d042fe,864
a8fcb338abc4eefb79dc16cb32895eed,864
620d35bec24259a16302fbb11b27513d,7771
849cafefc484f14644fa37a2034a1a9c,6226
1df96bc80409a3c912c42113a1ca11e9,864
3a51e4d188358aed3d080c757831a47f,6226
23d6220ac9fb63d78cabf4ea4ac64cdd,7698
1b708ddedc855a0e85136bf8d3dd944d,864
5d43158770e8e9bfa34c84587134754d,864
82337ff59ba05cecd8f4c9cae9863d43,864
c2ef66506ce45db0a9903ff403a7cf2d,864
69bc82f0e15303fe1b1f8d3fbe70c269,9607
e747b788f1266b2ea2ba8ce24209ec47,4960
2cc846eb2e1852a3fbe4cd29e3949a6c,6226
85647510fbd0bdaf0306d2e1aed7f341,0
33998255535c3828141b9e88aa37ccf6,7617
433d87ba0e9ecda7a97835a0318ca31a,7617
72196633ab13d6cf0c10e91dcd1df856,7617
1494a84e7fe95e276411d1ea47820ecd,7617
73ccee0eeee57c5bf25e6a2233e13d6d,7617
a415cc39d6587a6f65521b3daf3d4db6,9517
8e58a3c3e16ad19a653554d7ad457690,9163
8cc76f4f311ed38e299582a62dafafe7,7617
ff9435088c08a21b2c4804e9bd9bc6f0,14
fee451e20030f0ee3b27e8745cb8be3f,5003
e07d7935d077e8d5d30c1bb38d245bb3,8961
a54e734549ff211eb6ca9bd0e1e39440,8961
8e439419103370af18186f4cf1b6fcd5,10671
e170fed8c7bd3c7ee4ee16950cafe0b2,12486
6b7f5514439c2a29f927de552de31177,8961
f240415fe950b11a13941613a7faad09,12486
6f2d11bd8587978c820b79d5f3f2d33c,0
954b6726f1d49205a41e84d560773a49,5000
84bb53406845b91d0067313bb21aef4b,4842
ee9a8c5379c87ed26e0d4490e7c222d3,9196
