cnpj,saude_tributaria
00000000000191,VERDE
00165009000152,CINZA
00211339000137,VERMELHO
00367185000177,VERDE
00465481000291,CINZA
00649404000100,VERDE
00716976000165,CINZA
00786328000185,CINZA
00915822000100,VERDE
00934444000102,VERMELHO
00937838000106,CINZA
01061462000181,VERDE
01073383000190,VERDE
01099093000205,CINZA
01156463000100,VERDE
01172201000139,CINZA
01299556000193,CINZA
01381496000153,CINZA
01545826000107,AMARELA
01647921000103,VERMELHO
01657551000195,CINZA
01740721000109,VERMELHO
01792401000194,VERDE
01800865000103,CINZA
01870274000102,CINZA
02134105000169,CINZA
02241448000122,CINZA
02274154000440,CINZA
02302400000187,CINZA
02313091000906,CINZA
02315995000105,VERDE
02415052000154,CINZA
02483615000141,VERDE
02610914000108,CINZA
02656847000154,VERDE
02665263000498,CINZA
02684425000192,CINZA
02718003000190,CINZA
02732701000140,CINZA
02743600000175,VERDE
02791970000188,CINZA
02959215000160,CINZA
02991393000178,VERDE
03008527000150,CINZA
03032025000165,VERMELHO
03073116000149,CINZA
03109755000117,CINZA
03192199000195,VERMELHO
03213889000183,CINZA
03218360000152,CINZA
03345443000102,CINZA
03364789000158,CINZA
03378521000175,VERDE
03442244000112,VERMELHO
03452446000145,AMARELA
03497533000119,VERDE
03575031000169,VERMELHO
03584647000872,CINZA
03702647000153,VERMELHO
03723840000170,VERDE
03729582000130,VERDE
03758318000124,CINZA
03775201000159,CINZA
03813255000242,CINZA
03838663000178,CINZA
03853896000140,VERDE
04132350001304,CINZA
04140457000152,CINZA
04213072000330,CINZA
04285969000298,CINZA
04323669000175,VERMELHO
04386026000170,VERMELHO
04504781000102,CINZA
04574115000140,VERDE
04691955000193,CINZA
04805338000171,VERMELHO
04820076000114,VERDE
04831791000152,CINZA
04862285000120,CINZA
04923933000101,CINZA
05057457000156,CINZA
05089105000182,CINZA
05165630000130,CINZA
05197443000138,CINZA
05307555000102,CINZA
05315567000170,CINZA
05356697000232,CINZA
05391908000197,CINZA
05417474000157,CINZA
05483260000189,CINZA
05489650000166,VERMELHO
05643667000126,CINZA
05688706000101,CINZA
05713128003565,CINZA
05829303000135,VERDE
05901702000321,CINZA
05919841000110,CINZA
05995557000123,VERMELHO
06047087000139,AMARELA
06172997000143,VERDE
06202593000155,CINZA
06329766000109,CINZA
06331264000104,CINZA
06345049000162,CINZA
06347409003857,CINZA
06948386000225,CINZA
07022626000148,CINZA
07040083000191,CINZA
07047251000170,VERDE
07052682000478,CINZA
07153029000152,VERDE
07198549000181,VERMELHO
07212235000196,CINZA
07222949000185,CINZA
07223812000145,CINZA
07237373019220,CINZA
07331858000188,VERDE
07336423000126,CINZA
07413323000156,CINZA
07445103000376,CINZA
07490854000142,CINZA
07496475000160,CINZA
07502441000130,VERMELHO
07512248000180,CINZA
07536718000146,CINZA
07541890000198,CINZA
07545972000100,CINZA
07571746002733,VERDE
07605104000179,CINZA
07624772000143,CINZA
07701463000120,CINZA
07733424000104,CINZA
07738498000133,CINZA
07785006000160,VERDE
07794384000100,VERDE
07810423000116,CINZA
07854065000143,VERDE
07871900000404,CINZA
07894022000191,CINZA
07898207000174,CINZA
07907332000101,CINZA
07928261000972,CINZA
07938358001008,CINZA
08000421000124,CINZA
08019610000149,CINZA
08051091000104,CINZA
08069575001063,CINZA
08078329000187,VERDE
08078847000109,VERDE
08083710000134,VERDE
08088714000105,CINZA
08144095000471,CINZA
08157985000175,VERDE
08159681000147,CINZA
08159965000133,VERDE
08167586000195,CINZA
08183631000103,CINZA
08190204000497,CINZA
08203210000199,CINZA
08268389000162,CINZA
08322447000199,CINZA
08342257000133,VERMELHO
08370895000168,CINZA
08439659000150,VERMELHO
08448725000159,CINZA
08467115000100,AMARELA
08511695000188,VERDE
08535796000199,CINZA
08544440000111,VERMELHO
08578581000155,CINZA
08605143000139,CINZA
08644214000102,CINZA
08683499000433,CINZA
08689890000100,CINZA
08705965000191,CINZA
08786706000132,CINZA
08807432000110,CINZA
08827824000141,CINZA
08850932000135,CINZA
08877788000120,CINZA
08885521000185,CINZA
08897628000305,CINZA
08902291000115,AMARELA
08935813000185,VERDE
08958195000199,CINZA
09041168000110,VERDE
09042817000105,VERDE
09059963000135,VERDE
09146532000106,CINZA
09182058000178,CINZA
09183532000186,CINZA
09210981000176,CINZA
09240414000162,VERMELHO
09257586000149,VERDE
09324664000180,VERDE
09333271000133,CINZA
09416234000199,CINZA
09445356000103,CINZA
09448680000185,CINZA
09488407000184,VERDE
09503333000108,VERMELHO
09520767000116,CINZA
09597894000113,AMARELA
09602283000116,CINZA
10197124000162,VERDE
10276568000940,CINZA
10285590000108,CINZA
10308655000185,CINZA
10338320000100,CINZA
10379203000194,CINZA
10394003000100,CINZA
10408075000160,CINZA
10452117000240,CINZA
10452614000168,CINZA
10453886000182,CINZA
10520467000116,AMARELA
10523758000168,CINZA
10540697000147,CINZA
10602138000114,CINZA
10706814000108,CINZA
10732446000164,CINZA
10750878000106,CINZA
10757233000197,VERDE
10813419000116,CINZA
10835932000108,VERDE
10857333000195,VERDE
10911225000153,CINZA
10926032000176,CINZA
10935198000159,CINZA
11009409000276,CINZA
11009939000214,CINZA
11050354000167,CINZA
11069100000190,VERDE
11144384000132,CINZA
11288242000149,CINZA
11310197000181,CINZA
11315820000199,CINZA
11478724000161,CINZA
11531740000170,CINZA
11627471000140,CINZA
11651131000155,CINZA
11676477000108,CINZA
11688342000162,CINZA
11766757000107,CINZA
11775800000109,CINZA
11792237000179,CINZA
11803694000111,CINZA
11820017000292,CINZA
11845364000199,CINZA
11889598000138,CINZA
11890033000170,CINZA
11895666000171,VERMELHO
11907298000134,VERDE
11926916000274,CINZA
11979780000180,CINZA
11982044000180,CINZA
11984773000176,CINZA
11992887000168,CINZA
11993200000290,CINZA
12082979000173,VERDE
12108897000150,CINZA
12196681000194,CINZA
12223379000188,VERDE
12316989000126,VERDE
12368999000105,VERDE
12403934000153,VERDE
12448485000160,CINZA
12472753000189,CINZA
12538464000135,CINZA
12592893000190,CINZA
12634115000117,CINZA
12673072000189,CINZA
12693130000136,CINZA
12699268000142,CINZA
12802504000104,AMARELA
12816368000616,CINZA
12907122000145,CINZA
12919016000181,CINZA
12978611000198,VERDE
13022810000190,CINZA
13091424000150,CINZA
13124621000129,CINZA
13169476000100,CINZA
13199680000166,CINZA
13233885000110,CINZA
13235847000105,CINZA
13329355000170,VERDE
13350976000136,CINZA
13550229000141,CINZA
13623597000172,CINZA
13715339000469,CINZA
13735199000148,CINZA
13783221013103,CINZA
13785387000180,CINZA
13842090000100,CINZA
13995307000111,VERDE
14044940000197,CINZA
14083796000106,VERDE
14113374000128,CINZA
14127813000151,VERDE
14166812000116,CINZA
14263220000112,CINZA
14349067000140,CINZA
14426672000178,VERDE
14512882000189,CINZA
14545544000143,CINZA
14578242000171,CINZA
14692918000153,CINZA
14709739000181,CINZA
14737862000106,CINZA
14756240000125,CINZA
14826955000107,VERMELHO
14840253000188,CINZA
14878183000157,VERDE
14881055000162,CINZA
14889999000186,CINZA
14926981000107,CINZA
14959494000140,CINZA
14962264000130,CINZA
14991849000189,CINZA
15140229000107,CINZA
15301257000150,CINZA
15338173000191,VERDE
15424977000103,CINZA
15436006000183,CINZA
15489013000143,CINZA
15505900000168,CINZA
15572119000106,CINZA
15575652000121,CINZA
15653219000167,CINZA
15666487000113,CINZA
15710850000150,CINZA
15915557000120,CINZA
16295248000167,VERDE
16551660000109,CINZA
16575744000174,CINZA
16599253000163,CINZA
16609379000171,CINZA
16629693001007,CINZA
16703602000145,CINZA
16751379000101,CINZA
16751936000194,CINZA
16767988000159,CINZA
16791045000161,CINZA
16791578000143,CINZA
16842136000189,VERDE
16884333000160,CINZA
16919018000121,CINZA
16993704000142,CINZA
17100550000185,CINZA
17155730000164,VERDE
17167377000132,CINZA
17193806000146,CINZA
17204981000191,VERDE
17215821000148,CINZA
17281106000103,VERMELHO
17285026000126,CINZA
17292515000105,CINZA
17337310000107,CINZA
17344597000194,CINZA
17442790000168,CINZA
17446895000195,CINZA
17519869000140,CINZA
17577763000100,CINZA
17590798000171,CINZA
17665516000158,CINZA
17711611000140,CINZA
17722949000106,CINZA
17729004000108,CINZA
17820015000107,CINZA
17853693000168,VERMELHO
17903002000193,CINZA
17930984000102,CINZA
17952228000184,VERDE
18020707000125,CINZA
18033402000158,CINZA
18085648000769,CINZA
18089207000140,CINZA
18174270000184,CINZA
18178150000155,CINZA
18252246000116,CINZA
18308187000150,VERDE
18315764000131,CINZA
18316680000112,CINZA
18321180000179,CINZA
18328118000109,VERDE
18338684000100,CINZA
18588241000169,CINZA
18593445000198,CINZA
18599420000100,CINZA
18610147000240,VERDE
18736053000130,CINZA
18782694000121,CINZA
18873376000176,CINZA
18934426000188,CINZA
18995631000153,VERDE
19015874000140,VERDE
19034964000189,CINZA
19035002000144,VERMELHO
19085678000142,VERMELHO
19152300000114,CINZA
19158160000191,CINZA
19160148000111,CINZA
19191730000145,CINZA
19228183000125,CINZA
19267316000172,CINZA
19282344000169,CINZA
19378769000176,VERDE
19421424000158,CINZA
19470683000179,CINZA
19535174000187,VERDE
19546281000100,CINZA
19556856000176,CINZA
19598395000102,CINZA
19608232000155,CINZA
19619928000187,CINZA
19633710000187,CINZA
19646550000100,CINZA
19780020000150,CINZA
19784759000130,CINZA
19796586000170,CINZA
19860088000140,CINZA
19860102000105,CINZA
19889248000183,CINZA
19895411000110,CINZA
20012303000131,VERDE
20040886000104,CINZA
20131858000100,CINZA
20140417000167,VERDE
20181992000108,CINZA
20190092000127,CINZA
20222771000130,CINZA
20247322000147,CINZA
20262437000100,CINZA
20347188000156,CINZA
20387798000183,CINZA
20403792000152,CINZA
20416159000107,CINZA
20449811000181,CINZA
20480254000161,CINZA
20518593000190,VERDE
20552597000194,CINZA
20603820000185,CINZA
20676569000189,VERDE
20742125000102,CINZA
20755990000185,CINZA
20764276000153,VERDE
20777943000132,CINZA
20806500000122,CINZA
20872246000160,CINZA
20934984000195,CINZA
20941625000165,CINZA
21016890000108,CINZA
21132306000171,VERDE
21165619000126,CINZA
