cnpj,optante_simples,optante_simei
00000000467448,Não,Não
00000000589632,Não,Não
00028415000173,Não,Não
00275977000111,Sim,Não
00325276000492,Não,Não
00576704000298,Não,Não
00886828000199,Não,Não
00931489000115,Sim,Não
01026686000152,Sim,Não
01156464000154,Não,Não
01175596000123,Não,Não
01181518000131,Não,Não
01207843000126,Não,Não
01229308000176,Sim,Não
01259681000170,Sim,Não
01275777000121,Não,Não
01403356000139,Não,Não
01857567000141,Não,Não
01928798000107,Não,Não
01975079000139,Não,Não
02071685000192,Sim,Não
02130360000214,Não,Não
02217319000107,Não,Não
02308008000145,Sim,Não
02415583112107,Não,Não
02415583181184,Não,Não
02581911000185,Não,Não
02594424000157,Não,Não
02734022000100,Sim,Não
02800026000140,Não,Não
02833870000177,Não,Não
02932074000191,Não,Não
02950811000189,Não,Não
02957320000160,Sim,Não
02965468000146,Não,Não
02981429000132,Não,Não
03187787000130,Sim,Não
03234943000177,Sim,Não
03384155000167,Sim,Não
03398017000137,Sim,Não
03456351000108,Sim,Não
03456487000100,Não,Não
03501566000195,Não,Não
03621100000123,Sim,Não
03694937000100,Não,Não
03719755000139,Sim,Não
03752218000190,Sim,Não
03799098000187,Sim,Não
03919480000187,Não,Não
03942255000161,Não,Não
03946153000114,Sim,Não
03946325000150,Não,Não
04099894000170,Não,Não
04165359000170,Não,Não
04297060000179,Sim,Não
04299646000334,Sim,Não
04305070000109,Sim,Não
04417441000144,Sim,Não
04432889000137,Sim,Não
04478924000159,Sim,Não
04524057000302,Não,Não
04524628000147,Sim,Não
04670869000285,Não,Não
04778345000121,Sim,Não
05085404000149,Sim,Não
05087967000176,Não,Não
05145993000103,Sim,Não
05415942000154,Sim,Não
05477217000100,Sim,Não
05484278000103,Não,Não
05730396000308,Não,Não
05758386000119,Sim,Não
05808422000101,Sim,Não
05850655000253,Não informado,Não informado
05878397000132,Não,Não
05967024000138,Não,Não
05999689000123,Sim,Não
06021442000109,Sim,Não
06053779000432,Não,Não
06057223000171,Não,Não
06071001000103,Não,Não
06250045000109,Não,Não
06280175000186,Sim,Não
06284457000151,Não,Não
06318833000181,Sim,Não
06320130000198,Sim,Não
06536644000185,Não,Não
06696035000193,Sim,Não
07009992000167,Não,Não
07041490000113,Sim,Não
07050365000170,Sim,Não
07057779000120,Não,Não
07246673000175,Não,Não
07246943000148,Não,Não
07253086000103,Sim,Não
07315114000170,Sim,Não
07315999000298,Não,Não
07316419000104,Não,Não
07409047000152,Sim,Não
07464451000129,Não,Não
07465671000177,Não,Não
07491164000108,Sim,Não
07579933000124,Não,Não
07621126000394,Não informado,Não informado
07628528000159,Não,Não
07659215000168,Não,Não
07679140000187,Não,Não
07683886000407,Não informado,Não informado
07685979000128,Não,Não
07737463000180,Sim,Não
07749348000125,Não,Não
07751427000170,Sim,Sim
07871529000120,Sim,Não
07916392000182,Não,Não
07933222000297,Não informado,Não informado
07941675000184,Sim,Não
07953678017537,Não,Não
07957567001171,Não,Não
07963394000556,Não,Não
07993125000109,Sim,Não
08016712000372,Não,Não
08054198000106,Não,Não
08058149000133,Sim,Não
08070127000199,Não,Não
08108416000130,Não,Não
08170849000115,Não,Não
08221284000158,Não,Não
08244883001088,Não,Não
08292495000262,Não,Não
08343492000120,Não,Não
08373328000165,Não,Não
08380296000125,Sim,Não
08402943000152,Não,Não
08498758000103,Não,Não
08502656000114,Não,Não
08522523000100,Não,Não
08589233000183,Não,Não
08606815000120,Não,Não
08700864000128,Não,Não
08706573000147,Não,Não
08731116000102,Sim,Não
08866702000164,Sim,Não
08902856000164,Não,Não
08977130000190,Não,Não
09017025000172,Sim,Não
09020309000118,Não,Não
09030268000140,Não,Não
09036748000119,Sim,Não
09063671000176,Sim,Não
09101694000128,Sim,Não
09120778000109,Não,Não
09161014000161,Não,Não
09238665000102,Sim,Não
09526912000176,Não,Não
09561759000118,Sim,Não
10227933000170,Não,Não
10249015000141,Não,Não
10351662000160,Sim,Não
10353516000173,Não,Não
10358288000205,Não informado,Não informado
10374703000133,Sim,Não
10432918000163,Não,Não
10462656000180,Não,Não
10490838000164,Sim,Não
10509333000102,Não,Não
10512581000102,Não,Não
10567870000109,Não,Não
10572048003810,Não,Não
10599719000144,Não,Não
10608302000109,Sim,Não
10624361000162,Não,Não
10695910000190,Sim,Não
10803851000126,Não,Não
10865533000190,Sim,Não
10896732000165,Não,Não
10970887010590,Não,Não
11050407000140,Sim,Não
11124720000185,Sim,Não
11164122000130,Não,Não
11202666000149,Não,Não
11215727000102,Sim,Não
